"","AG","BD","GD","SD","SU","RD","AB","SO","CC","LV","CN","FS","EC","ES","AD","AN","AT","GE","CH","GN","ER","PH","PO","TK","PA","MR","AY","MB","AI","LU","WT","EN"
"AG",1,0.997862831079502,0.986161662215625,0.987649043480032,0.987737551370602,0.928846872095787,0.921634006827776,0.986772503834318,0.994144580140244,0.887410751104936,0.972273375900731,0.991211620276081,0.971091230561156,0.976366915150814,0.957556390775791,0.935627338440883,0.943072100166428,0.910553428720116,0.924277996070596,0.915421035674663,0.921006761800113,0.941608248721934,0.864970321758404,0.962952094976052,0.943760504562807,0.945398854774278,0.970949643521348,0.889980525935933,0.958625636101612,0.990904226528155,0.601726810856835,0.983355441698176
"BD",0.997862831079502,1,0.97424274351461,0.975721498397578,0.975847320291305,0.903947154910284,0.898443901554764,0.974742795715038,0.985389647393326,0.862580735578445,0.955519223047428,0.980939598666708,0.955245843741901,0.961638486356491,0.93776728479087,0.913292562373187,0.919720782684171,0.882732635648132,0.898254916478684,0.889566563192134,0.894185830005127,0.920367563921304,0.832594228327154,0.943280035621875,0.920918989200034,0.922448591360291,0.953814620893294,0.860454615946211,0.938434361932461,0.980194953073868,0.594638190067148,0.970013409113268
"GD",0.986161662215625,0.97424274351461,1,0.999396489152863,0.99961837702899,0.97704278282766,0.968565546480797,0.997053167670585,0.998187834020557,0.944658088086039,0.997084436381199,0.998807506743486,0.993183017214373,0.996962917639048,0.991675795198545,0.978453714972706,0.983341866525118,0.963293480966856,0.968132106035278,0.964621496382541,0.963775813926921,0.978380249532829,0.915263757494013,0.990276423702819,0.984631731315876,0.983105775957466,0.996434350729654,0.943392968227536,0.991383583604327,0.998130709202289,0.640978396862039,0.998810135951784
"SD",0.987649043480032,0.975721498397578,0.999396489152863,1,0.99994067736886,0.974894611893915,0.967975120225243,0.997068815469836,0.998719813341014,0.935679065187656,0.996490850387818,0.99876862380221,0.991242714130584,0.995141478676872,0.989920151296225,0.974145536862959,0.982664922340717,0.96067895337641,0.967156386494552,0.960626234466127,0.964383604892173,0.974855594757068,0.917295643989851,0.9915246867281,0.983202405299715,0.982562971283044,0.996425495968626,0.94076763871773,0.990787702986294,0.998694398303697,0.616117388299984,0.998271012962147
"SU",0.987737551370602,0.975847320291305,0.99961837702899,0.99994067736886,1,0.975161967993223,0.966850476821912,0.997687087989528,0.998791413691801,0.938170823166543,0.996733699253447,0.999151807431529,0.992397164978756,0.996009635260906,0.990385890305223,0.975555456405374,0.982923780716941,0.961671655379995,0.968124117662234,0.962222881335541,0.965020065523237,0.976508198321479,0.918260032187283,0.991539413383139,0.983545527893555,0.983066711938269,0.996371970953834,0.942452895249952,0.991032108451502,0.9990001210861,0.624175457020015,0.99877989969596
"RD",0.928846872095787,0.903947154910284,0.97704278282766,0.974894611893915,0.975161967993223,1,0.988348204145149,0.97179752583152,0.963342390434625,0.976138611702883,0.989582899366103,0.968846842293007,0.982607871142525,0.98340495948762,0.99588422186295,0.993674893775581,0.99778682128566,0.994716950163443,0.990032937838667,0.990503755622259,0.986230423891095,0.987504207318839,0.954014480241704,0.989270529199228,0.998717127372,0.995086358126573,0.989998617574713,0.978913843980766,0.995161408050574,0.968565254086701,0.648922981194934,0.979245054638883
"AB",0.921634006827776,0.898443901554764,0.968565546480797,0.967975120225243,0.966850476821912,0.988348204145149,1,0.95338098654548,0.955873828848787,0.943159480947149,0.977912619945417,0.956251793412669,0.957900825413114,0.964595082934735,0.981927738644381,0.968057561507335,0.982322331971307,0.968615846933323,0.960030973487129,0.958157575465505,0.957079699010605,0.95512521827002,0.910494562090926,0.974355613834567,0.984366067133639,0.974570075303376,0.982031382044981,0.93819100680404,0.981513320267231,0.955259257832918,0.568390262257908,0.964078922388917
"SO",0.986772503834318,0.974742795715038,0.997053167670585,0.997068815469836,0.997687087989528,0.97179752583152,0.95338098654548,1,0.996610872813225,0.942580932519898,0.994992996287882,0.998957134447044,0.996449537740092,0.997478740868645,0.988902482665118,0.978347033697481,0.982055439880278,0.96456989105499,0.973660876818567,0.967842489101013,0.970618144881592,0.982903308978679,0.930529879332892,0.991580802236392,0.9819581466587,0.98467400544853,0.993047181579499,0.952056389367551,0.989754038178572,0.999290709755326,0.649275774664997,0.999177885934065
"CC",0.994144580140244,0.985389647393326,0.998187834020557,0.998719813341014,0.998791413691801,0.963342390434625,0.955873828848787,0.996610872813225,1,0.925315130303358,0.991672944373322,0.999237802555254,0.988125051875881,0.992459489219318,0.98276582918468,0.965684172453458,0.972795882091859,0.947868131437626,0.956233239721204,0.949831925202671,0.95281178782834,0.967872350348976,0.902203411147601,0.984705257643418,0.973613665839084,0.973439173983456,0.99102506427841,0.92766078681118,0.983351723158003,0.998903705707602,0.620615181979047,0.996478778364839
"LV",0.887410751104936,0.862580735578445,0.944658088086039,0.935679065187656,0.938170823166543,0.976138611702883,0.943159480947149,0.942580932519898,0.925315130303358,1,0.958527263830824,0.936510910220997,0.966408837591596,0.963022373663986,0.971683209598626,0.989244941557545,0.969052255181593,0.982109584654432,0.971880081372169,0.988703124503972,0.959872807441775,0.98355194362729,0.930596217113338,0.951050527976267,0.972999172327091,0.968860902841057,0.953785666335937,0.975853527544819,0.965058040215295,0.933684517402208,0.793883059224815,0.950489526471322
"CN",0.972273375900731,0.955519223047428,0.997084436381199,0.996490850387818,0.996733699253447,0.989582899366103,0.977912619945417,0.994992996287882,0.991672944373322,0.958527263830824,1,0.994315807755769,0.995846804007914,0.997907425187488,0.998244971694388,0.988739810497461,0.994338083376345,0.980322925852685,0.983373029646659,0.979655471774058,0.980073962580248,0.987892742598025,0.939819827663058,0.99701600820984,0.994891774146045,0.993974282774535,0.999608022218433,0.963659068122253,0.998487215934885,0.994244405346843,0.641449332031662,0.997986324637724
"FS",0.991211620276081,0.980939598666708,0.998807506743486,0.99876862380221,0.999151807431529,0.968846842293007,0.956251793412669,0.998957134447044,0.999237802555254,0.936510910220997,0.994315807755769,1,0.993240030673511,0.996114353452456,0.987027187453101,0.973514349628476,0.978163824446194,0.957067105641462,0.965204986128942,0.959925812364715,0.961502146327172,0.976436766833931,0.915055953947407,0.988394350237014,0.97880107347971,0.979587437414085,0.992961473885444,0.940146747148272,0.987397966768512,0.99978411985923,0.640539730932658,0.998738590533002
"EC",0.971091230561156,0.955245843741901,0.993183017214373,0.991242714130584,0.992397164978756,0.982607871142525,0.957900825413114,0.996449537740092,0.988125051875881,0.966408837591596,0.995846804007914,0.993240030673511,1,0.999137101896678,0.994555162073904,0.991597246149118,0.989597364295865,0.980516662484221,0.985899030063696,0.984752903078471,0.981186006835059,0.994749092912904,0.946337142217202,0.992773010096883,0.99002177845467,0.992216843504786,0.992972152005312,0.971488343323067,0.994007132202249,0.99315598218184,0.691117060339669,0.997245847976749
"ES",0.976366915150814,0.961638486356491,0.996962917639048,0.995141478676872,0.996009635260906,0.98340495948762,0.964595082934735,0.997478740868645,0.992459489219318,0.963022373663986,0.997907425187488,0.996114353452456,0.999137101896678,1,0.995703251408453,0.989757854959414,0.989401721469771,0.977056419255234,0.981418063498579,0.98036174230197,0.976383346529302,0.991181057583559,0.936113345934028,0.992994713573281,0.990388031906679,0.990756847727402,0.995780720765565,0.963791443887746,0.994894174662256,0.995624580961205,0.679869287057592,0.999019171491817
"AD",0.957556390775791,0.93776728479087,0.991675795198545,0.989920151296225,0.990385890305223,0.99588422186295,0.981927738644381,0.988902482665118,0.98276582918468,0.971683209598626,0.998244971694388,0.987027187453101,0.994555162073904,0.995703251408453,1,0.994960110560768,0.997821486192487,0.989242620588816,0.989137440554339,0.988319730913798,0.984942992734555,0.992367507622565,0.94794178948159,0.995679231731749,0.99874185973575,0.996924702195241,0.997638771628669,0.973904106030672,0.999398462265376,0.986682315069999,0.660605933086107,0.993486127273089
"AN",0.935627338440883,0.913292562373187,0.978453714972706,0.974145536862959,0.975555456405374,0.993674893775581,0.968057561507335,0.978347033697481,0.965684172453458,0.989244941557545,0.988739810497461,0.973514349628476,0.991597246149118,0.989757854959414,0.994960110560768,1,0.993576341856536,0.994846399735189,0.992362297310356,0.997413505991091,0.985740839853243,0.997963451825482,0.955561362676061,0.985949791572783,0.995054695986377,0.994068034344735,0.986042123512679,0.986135092754997,0.992531330102554,0.972664350564604,0.719614677030122,0.983329239472949
"AT",0.943072100166428,0.919720782684171,0.983341866525118,0.982664922340717,0.982923780716941,0.99778682128566,0.982322331971307,0.982055439880278,0.972795882091859,0.969052255181593,0.994338083376345,0.978163824446194,0.989597364295865,0.989401721469771,0.997821486192487,0.993576341856536,1,0.994507676192112,0.994662383612085,0.99099897397058,0.992708727699753,0.991314006353827,0.963797963598428,0.996422582321919,0.999646373250457,0.999269338888617,0.994364654572704,0.982064115887367,0.99867513684927,0.978844027737327,0.636514413015172,0.986946187910139
"GE",0.910553428720116,0.882732635648132,0.963293480966856,0.96067895337641,0.961671655379995,0.994716950163443,0.968615846933323,0.96456989105499,0.947868131437626,0.982109584654432,0.980322925852685,0.957067105641462,0.980516662484221,0.977056419255234,0.989242620588816,0.994846399735189,0.994507676192112,1,0.997351218059676,0.998078489838616,0.994159297752261,0.992618267665004,0.9753974512282,0.984386599890456,0.99416242034477,0.994788587379119,0.978887867741965,0.99458916196987,0.98899823312989,0.957701059527554,0.676593478206684,0.970405577991
"CH",0.924277996070596,0.898254916478684,0.968132106035278,0.967156386494552,0.968124117662234,0.990032937838667,0.960030973487129,0.973660876818567,0.956233239721204,0.971880081372169,0.983373029646659,0.965204986128942,0.985899030063696,0.981418063498579,0.989137440554339,0.992362297310356,0.994662383612085,0.997351218059676,1,0.996156395879445,0.998852395977358,0.99437568813229,0.983593027038121,0.990017761402146,0.992919318428334,0.997061113296504,0.981547679445814,0.99549262582097,0.990628439975555,0.966886220151968,0.660745123955148,0.976698339156655
"GN",0.915421035674663,0.889566563192134,0.964621496382541,0.960626234466127,0.962222881335541,0.990503755622259,0.958157575465505,0.967842489101013,0.949831925202671,0.988703124503972,0.979655471774058,0.959925812364715,0.984752903078471,0.98036174230197,0.988319730913798,0.997413505991091,0.99099897397058,0.998078489838616,0.996156395879445,1,0.99098365177491,0.996898844434251,0.97125492994369,0.981336417861656,0.991280074698753,0.992684540131158,0.97658355402485,0.995300233855879,0.986825558183825,0.959997498050823,0.716646845954193,0.972555596625765
"ER",0.921006761800113,0.894185830005127,0.963775813926921,0.964383604892173,0.965020065523237,0.986230423891095,0.957079699010605,0.970618144881592,0.95281178782834,0.959872807441775,0.980073962580248,0.961502146327172,0.981186006835059,0.976383346529302,0.984942992734555,0.985740839853243,0.992708727699753,0.994159297752261,0.998852395977358,0.99098365177491,1,0.988915459561269,0.988620557244641,0.989947827836194,0.989790058572938,0.995437271714138,0.978959181552231,0.99335421226157,0.988077581545446,0.964120211035226,0.627737310921492,0.97298836778465
"PH",0.941608248721934,0.920367563921304,0.978380249532829,0.974855594757068,0.976508198321479,0.987504207318839,0.95512521827002,0.982903308978679,0.967872350348976,0.98355194362729,0.987892742598025,0.976436766833931,0.994749092912904,0.991181057583559,0.992367507622565,0.997963451825482,0.991314006353827,0.992618267665004,0.99437568813229,0.996898844434251,0.988915459561269,1,0.963656409548053,0.987292846574192,0.991689414726545,0.994144914760286,0.984239149856089,0.988951662784545,0.990998713746255,0.976386603308924,0.721151012223955,0.985389993902051
"PO",0.864970321758404,0.832594228327154,0.915263757494013,0.917295643989851,0.918260032187283,0.954014480241704,0.910494562090926,0.930529879332892,0.902203411147601,0.930596217113338,0.939819827663058,0.915055953947407,0.946337142217202,0.936113345934028,0.94794178948159,0.955561362676061,0.963797963598428,0.9753974512282,0.983593027038121,0.97125492994369,0.988620557244641,0.963656409548053,1,0.95964239274967,0.957886364681911,0.96980432663829,0.93784628635415,0.988033255646457,0.95371882712751,0.919957606231527,0.598069688150748,0.931008336122575
"TK",0.962952094976052,0.943280035621875,0.990276423702819,0.9915246867281,0.991539413383139,0.989270529199228,0.974355613834567,0.991580802236392,0.984705257643418,0.951050527976267,0.99701600820984,0.988394350237014,0.992773010096883,0.992994713573281,0.995679231731749,0.985949791572783,0.996422582321919,0.984386599890456,0.990017761402146,0.981336417861656,0.989947827836194,0.987292846574192,0.95964239274967,1,0.995039651871173,0.997151535818464,0.99711700560176,0.972276615367005,0.998195913790062,0.98984747183034,0.60918289031498,0.993673952407998
"PA",0.943760504562807,0.920918989200034,0.984631731315876,0.983202405299715,0.983545527893555,0.998717127372,0.984366067133639,0.9819581466587,0.973613665839084,0.972999172327091,0.994891774146045,0.97880107347971,0.99002177845467,0.990388031906679,0.99874185973575,0.995054695986377,0.999646373250457,0.99416242034477,0.992919318428334,0.991280074698753,0.989790058572938,0.991689414726545,0.957886364681911,0.995039651871173,1,0.998388111617195,0.994789918765146,0.980181730696672,0.998729498088032,0.978929814362452,0.648607139849431,0.987445817032005
"MR",0.945398854774278,0.922448591360291,0.983105775957466,0.982562971283044,0.983066711938269,0.995086358126573,0.974570075303376,0.98467400544853,0.973439173983456,0.968860902841057,0.993974282774535,0.979587437414085,0.992216843504786,0.990756847727402,0.996924702195241,0.994068034344735,0.999269338888617,0.994788587379119,0.997061113296504,0.992684540131158,0.995437271714138,0.994144914760286,0.96980432663829,0.997151535818464,0.998388111617195,1,0.993219587619374,0.985818325347155,0.998139278564263,0.98063720516414,0.645092885326025,0.988203263173728
"AY",0.970949643521348,0.953814620893294,0.996434350729654,0.996425495968626,0.996371970953834,0.989998617574713,0.982031382044981,0.993047181579499,0.99102506427841,0.953785666335937,0.999608022218433,0.992961473885444,0.992972152005312,0.995780720765565,0.997638771628669,0.986042123512679,0.994364654572704,0.978887867741965,0.981547679445814,0.97658355402485,0.978959181552231,0.984239149856089,0.93784628635415,0.99711700560176,0.994789918765146,0.993219587619374,1,0.960300906108639,0.998323560172542,0.993024133461853,0.622589733690896,0.996565953194441
"MB",0.889980525935933,0.860454615946211,0.943392968227536,0.94076763871773,0.942452895249952,0.978913843980766,0.93819100680404,0.952056389367551,0.92766078681118,0.975853527544819,0.963659068122253,0.940146747148272,0.971488343323067,0.963791443887746,0.973904106030672,0.986135092754997,0.982064115887367,0.99458916196987,0.99549262582097,0.995300233855879,0.99335421226157,0.988951662784545,0.988033255646457,0.972276615367005,0.980181730696672,0.985818325347155,0.960300906108639,1,0.974528726639012,0.94188493546001,0.693891874072197,0.955426659123562
"AI",0.958625636101612,0.938434361932461,0.991383583604327,0.990787702986294,0.991032108451502,0.995161408050574,0.981513320267231,0.989754038178572,0.983351723158003,0.965058040215295,0.998487215934885,0.987397966768512,0.994007132202249,0.994894174662256,0.999398462265376,0.992531330102554,0.99867513684927,0.98899823312989,0.990628439975555,0.986825558183825,0.988077581545446,0.990998713746255,0.95371882712751,0.998195913790062,0.998729498088032,0.998139278564263,0.998323560172542,0.974528726639012,1,0.987739420817369,0.639067923077897,0.993702710276311
"LU",0.990904226528155,0.980194953073868,0.998130709202289,0.998694398303697,0.9990001210861,0.968565254086701,0.955259257832918,0.999290709755326,0.998903705707602,0.933684517402208,0.994244405346843,0.99978411985923,0.99315598218184,0.995624580961205,0.986682315069999,0.972664350564604,0.978844027737327,0.957701059527554,0.966886220151968,0.959997498050823,0.964120211035226,0.976386603308924,0.919957606231527,0.98984747183034,0.978929814362452,0.98063720516414,0.993024133461853,0.94188493546001,0.987739420817369,1,0.630667301914208,0.998644530975699
"WT",0.601726810856835,0.594638190067148,0.640978396862039,0.616117388299984,0.624175457020015,0.648922981194934,0.568390262257908,0.649275774664997,0.620615181979047,0.793883059224815,0.641449332031662,0.640539730932658,0.691117060339669,0.679869287057592,0.660605933086107,0.719614677030122,0.636514413015172,0.676593478206684,0.660745123955148,0.716646845954193,0.627737310921492,0.721151012223955,0.598069688150748,0.60918289031498,0.648607139849431,0.645092885326025,0.622589733690896,0.693891874072197,0.639067923077897,0.630667301914208,1,0.652032520612796
"EN",0.983355441698176,0.970013409113268,0.998810135951784,0.998271012962147,0.99877989969596,0.979245054638883,0.964078922388917,0.999177885934065,0.996478778364839,0.950489526471322,0.997986324637724,0.998738590533002,0.997245847976749,0.999019171491817,0.993486127273089,0.983329239472949,0.986946187910139,0.970405577991,0.976698339156655,0.972555596625765,0.97298836778465,0.985389993902051,0.931008336122575,0.993673952407998,0.987445817032005,0.988203263173728,0.996565953194441,0.955426659123562,0.993702710276311,0.998644530975699,0.652032520612796,1
